Category,Yard,City,Zip,School District,Year Built,Acres,Square Feet,Newly Built,Asking Price,Bathrooms,Bedrooms,Special Features,Floor Covering,Carpet,Hard Wood,Tile,Laminate,Finished Basement,Garage,Fireplace,Deck,Sprinklers,Pool,By Owner,Washer,Dryer,Fenced,Landscape,Central Air,Brick,Stucco
townhouse/condo,fenced full,pleasant grove,84062,alpine,2007,0.029,1572,FALSE,256000,3,3,walkin closet,carpet,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
single family home,fenced partial|landscape full,midway,84049,alpine,1998,0.34,3500,FALSE,639900,4,4,deck|fireplace gas|patio covered|sprinklers automatic|walkin closet,carpet|hardwood|tile,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
single family home,fenced full,syracuse,84075,davis,2006,0.23,3449,FALSE,419000,3.5,5,deck|fireplace gas|patio uncovered|sprinklers automatic|walkin closet,carpet|hardwood|tile,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
single family home,fenced full,santaquin,84655,nebo,2005,0.24,3218,FALSE,325000,3.5,4,sprinklers automatic|walkin closet,carpet|laminate,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
single family home,fenced full|landscape full,santaquin,84655,nebo,2007,0.23,3385,FALSE,359900,4,4,security system|sprinklers automatic|sprinklers manual|walkin closet,carpet|tile,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
multifamily home,fenced partial|landscape front,salt lake city,84111,not specified,1900,0.12,4900,FALSE,695000,4,10,deck|fireplace other|fireplace woodburning|patio covered|security system|sprinklers automatic|walkin closet,carpet|hardwood|other|tile,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
single family home,fenced full|landscape full,manti,84642,south sanpete,2000,5.6,4200,FALSE,529000,3.5,6,fireplace other|patio covered|sprinklers automatic|walkin closet,carpet|tile,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
multifamily home,fenced partial|landscape full,ogden,84404,weber,1945,0.2,1583,FALSE,190000,2,4,patio covered,carpet,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
townhouse/condo,landscape full,provo,84601,provo city,1995,0.02,1004,FALSE,164900,1.75,3,not specified,carpet|linoleum|tile,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
single family home,not specified,salt lake city,84118,not specified,1991,0.16,1797,FALSE,290000,3,3,not specified,not specified,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
single family home,landscape back|landscape front,springville,84663,nebo,1994,0.51,5940,FALSE,625000,5,5,deck|fireplace gas|sprinklers automatic|walkin closet,not specified,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
single family home,fenced partial,payson,84651,nebo,1974,0.27,4307,FALSE,380000,4.5,5,not specified,carpet|hardwood|tile,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
single family home,fenced partial|landscape full,american fork,84003,alpine,1911,0.22,1564,FALSE,287500,1,3,not specified,carpet|laminate|tile,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
single family home,fenced partial|landscape full,plymouth,84330,box elder,2008,0.5,3564,FALSE,367000,3,5,deck|fireplace gas|patio uncovered|sprinklers automatic|walkin closet,carpet|hardwood|tile,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
single family home,fenced full,logan,84321,logan city,1989,0.09,1741,FALSE,210000,2,3,not specified,carpet|tile,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
single family home,fenced full|landscape full,west jordan,84081,jordan,2003,0.19,2056,FALSE,329999,3.5,4,walkin closet,carpet|hardwood|linoleum|tile,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
