Site Section,Sort Type,Template,Category,Site Section 2,Ad Type,Yard,Parking Type,heating,State,City,Zip,Seller Type,School District,Seller Accepts Texts,Photo Count,Year Built,Title,Previous URL,Acres,Square Feet,Newly Built,Seller ID,AD ID,Time Posted,Asking Price,Package Type,Exterior Material,cooling,Bathrooms,Bedrooms,Expire Date,Ad Status,Special Features,Floor Covering,Basement Type,Included Appliances,mls number,Listing ID
homes,not specified,detail page,single family home,for sale,for sale,landscape full,attached garage|combined garage|2 cars,forced air,ut,millville,84326,by agent,cache,true,13,1998,170 N 250 E|Millville|UT|84326,not specified,0.33,3191,False,2293759,40315391,2019-03-22T12:54:13Z,299000,not specified,aluminumvinyl,central air,275,4,2019-09-22,active,patio uncovered|sprinklers automatic|walkin closet,carpet|linoleum|tile,full finished,range,1585525,40315391
homes,not specified,detail page,single family home,for sale,for sale,landscape full,attached garage|combined garage|4 cars,forced air,ut,layton,84041,by agent,davis,true,15,2016,1716 West 650 South|Layton|UT|84041,not specified,0.3,4169,False,2590412,40293521,2019-03-22T12:54:12Z,582400,not specified,other|stucco,central air,25,3,2019-09-22,active,deck|fireplace gas|sprinklers automatic|walkin closet,carpet|hardwood|tile,full unfinished,microwave|other|range,1569640,40293521
homes,not specified,detail page,single family home,for sale,for sale,fenced none|landscape none,attached garage|combined garage|3 cars,forced air,ut,pleasant view,84414,by agent,weber,true,7,2018,3352 North 1100 West|Pleasant View|UT|84414,not specified,0.4,4005,False,2590412,40309279,2019-03-22T12:53:44Z,514200,not specified,brick|clapboardmasonite|stucco,central air,3,4,2019-09-22,active,deck|fireplace gas|walkin closet,carpet|laminate|tile,full unfinished,microwave|other|range,1564531,40309279
homes,not specified,detail page,single family home,for sale,for sale,fenced none|landscape none,attached garage|combined garage|3 cars,forced air,ut,layton,84041,by agent,davis,true,1,2018,1823 West 950 North|Layton|UT|84041,not specified,0.24,3482,False,2590412,40309280,2019-03-22T12:53:28Z,450000,not specified,clapboardmasonite|other|stucco,central air,3,3,2019-09-22,active,deck|fireplace gas|walkin closet,carpet|laminate|tile,full partially finished,microwave|other|range,1567337,40309280
homes,not specified,detail page,townhouse/condo,for sale,for sale,landscape full,attached garage|combined garage|2 cars,forced air,ut,taylorsville,84123,by agent,granite,true,7,1978,1180 W Middlesex Rd|Taylorsville|UT|84123,not specified,0.06,1097,False,253402,40315389,2019-03-22T12:48:47Z,225000,not specified,brick|clapboardmasonite,central air,15,2,2019-09-22,active,deck|fireplace woodburning|pool|sprinklers automatic,carpet|other|tile,full partially finished,dryer|microwave|other|range|refrigerator|washer,1587217,40315389
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|2 cars,forced air,ut,alpine,84004,by owner,alpine,true,14,1965,340 Carlisle Ave|Alpine|UT|84004,not specified,0.31,2756,False,73381,40315387,2019-03-22T12:46:48Z,389000,select basic,brick,evaporative cooler roof,25,4,2019-09-22,active,deck|fireplace woodburning|patio uncovered|sprinklers automatic,carpet|tile,full finished,range,not specified,40315387
homes,not specified,detail page,single family home,for sale,for sale,fenced none|landscape front,attached garage|combined garage|driveway|street parking|3 cars,forced air,ut,herriman,84096,by agent,jordan,true,12,2018,"6442 W. Hollister Way, Herriman, Utah 84096|Herriman|UT|84096",not specified,0.26,4895,False,39688,40315386,2019-03-22T12:45:49Z,588132,not specified,brick|cedarredwood|clapboardmasonite|stucco,central air,25,3,2019-09-22,active,deck|fireplace gas|sprinklers automatic|walkin closet,carpet|laminate|tile,full unfinished,microwave|other|range,1555196,40315386
homes,not specified,detail page,single family home,for sale,for sale,fenced partial,attached garage|combined garage|2 cars,forced air,ut,nibley,84321,by agent,cache,true,15,2013,3259 S 1525 W|Nibley|UT|84321,not specified,0.37,1848,False,2293759,40315384,2019-03-22T12:42:35Z,285000,not specified,aluminumvinyl,central air,2,4,2019-09-22,active,not specified,carpet|tile,full finished,microwave|range,1580264,40315384
homes,not specified,detail page,single family home,for sale,for sale,landscape full,attached garage|combined garage|4 cars,forced air,ut,draper,84020,by agent,not specified,false,36,2004,13243 S Foxfield Ct|Draper|UT|84020,not specified,0.27,5350,False,215175,40315381,2019-03-22T12:25:06Z,832900,not specified,not specified,central air,4,6,2019-09-22,active,not specified,carpet|tile,full finished,not specified,1588143,40315381
homes,not specified,detail page,manufactured,for sale,for sale,fenced full,driveway,forced air,ut,clearfield,84015,by owner,not specified,true,1,1974,411 N 1275 W #144|Clearfield|UT|84015,not specified,0.01,960,False,467806,40315380,2019-03-22T12:19:46Z,25500,select basic,not specified,central air,1,3,2019-09-22,active,not specified,carpet|linoleum,not specified,dryer|microwave|range|refrigerator|washer,not specified,40315380
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|driveway|other|street parking|2 cars,forced air,ut,hyde park,84318,by agent,cache,true,25,2013,232 W 60 S|Hyde Park|UT|84318,not specified,0.16,1778,False,2449010,40315379,2019-03-22T12:18:21Z,289900,not specified,other|stucco,central air,175,3,2019-09-22,active,not specified,carpet|linoleum,shelfcrawl space,microwave|other|range|refrigerator,1588012,40315379
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|3 cars,forced air,ut,st george,84790,by owner,washington,true,12,2015,833 W 4100 S|St George|UT|84790,not specified,0.19,2165,False,388580,40315378,2019-03-22T12:16:37Z,379000,select basic,other|stucco,central air,2,4,2019-09-22,active,not specified,carpet|tile,not specified,microwave|range|refrigerator,not specified,40315378
homes,not specified,detail page,multifamily home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|driveway|street parking|2 cars,forced air,ut,sandy,84092,by owner,canyons,true,6,1976,2270 E High Mountain Dr|Sandy|UT|84092,not specified,0.35,3800,False,405094,40315377,2019-03-22T12:15:35Z,530000,select basic,brick|stucco,central air,3,7,2019-09-22,active,deck|fireplace woodburning|patio covered|sprinklers automatic,laminate|other|tile,full finished,dryer|microwave|other|range|refrigerator|washer,not specified,40315377
